Stock Number,Barcode,Name
UA2029,615323088995,12x1.6 Flat Bar AL/mtr
M8x50 (Hardie),291614623147,M8x50 HT Bolt ZP 8.8
P0148 (Hardie Fast),957344608346,1/4 Nylock Nut
UNC 5/16x3/4 CAP,649412959173,5/16x3/4 Cap Screw
P0148 (Liquip),568643940843,1/4 Nylock Nut
UNC 5/16x1 1/2 CAP,478058550844,5/16 UNC x 1 1/2 HT ZP Cap Screw
RB19W,712476448544,Rubber Buffer suit Fire Extinguisher Tubes
NTPM408,451976569907,Starlock Washer suit Road Cone Wheels
OR.221N70,418362039093,O Ring NBR 70 SH
BSW 5/16x1 1/2,024635507181,5/16 BSW x 1 1/2 HD Cap Screw
OR.035N70,119128889340,O Ring
M10x45 (Brassfit),667852305571,M10x45 HT Bolt ZP 8.8
M10x45 (Bolt Shop),526758125267,M10x45 HT Bolt ZP 8.8
MS RND10,869627861911,10 Dia Mild Steel Plain Round/mtr
826-435-001,455928499274,Seal Lip Lever
M8x65 (Brassfit),,M8x65 HT Bolt ZP 8.8
P0160 (Liquip),802685095885,O Ring Buna large suit Spindle
BMK RP (Pipeline),748784524784,Ring Pull
BMK RP (Wholesale),190349380123,Ring Pull
M5x20 CAP,575906663396,M5x20 Cap Screw ZP suit LQ API
BMK RP (Co-Mac 00291),688519400007,Ring Pull
M8x65 (MSL),,M8x65 HT Bolt ZP 8.8
331-333-017 was (894-333-007),792072553100,ORing 014V Viton suit ECL Drybreak Bush Internal
OR.327N70,396038326872,O Ring NBR 70SH 322
BSW 1/2HALFNY,351342867741,"""1/2"""" BSW Half Nyloc Nut"""
THST10B (Brassfit),071711361645,Spiral Tie 10mm Black/mtr
THST10B (Pipeline),247094917550,Spiral Tie 10mm Black/mtr
P6088,189201833925,AVV075 Spindle O Ring
M8x45 CSK CAP,665747776133,M8x45 CSK Cap Screw Z/P
CAPBUTM630Z,002954974718,M6x30 Buttonhead Cap Screw
M6x16 CSKTRX,629603897163,M6x16 CSK Torx Head Screw suit Todo
777-11704,587583244286,Retaining Washer (89d1SRK Kit)
OR.230N70,140211172438,O Ring NBR 70SH 230
BFW315202,915119414132,1/8 NPT Plug
P4647 (Sealhouse),,O Ring suit API490 series Sightglass
P4647 (Liquip),,O Ring suit API490 series Sightglass
AIR LINE 4mm (Brass-fit),470948670172,4mm Nylon Air Line/mtr
AIR LINE 4mm (Norgren),907694728880,4mm Nylon Air Line/mtr
M4x35CAPSS (Holmes),216055093178,M4x35 Cap Screw S/S
M4x35CAPSS (MSL),600089497148,M4x35 Cap Screw S/S
RCETM008,637984901426,8mm S/S External Circlip
NYTC08Z,100701441199,UNC thin Nyloc Nut 1/2 ZP
M5x35CAP,,M5x35 Cap Screw 304 S/S
NZC RESD,,Residential Delivery
MFI E01-06,698764048309,Verification Mark Label
M8x60 (Brassfit),643841489967,M8x60 HT Bolt ZP 8.8
M8x60 (MSL),190648511578,M8x60 HT Bolt ZP 8.8
M4x30CAPSS,807631355098,M4x30 Cap Screw S/S
RMBP-R8-M7,417624409636,"""1/4"""" Magna-Bulb Rivet"""
M16 NYLOC (MSL),250875110912,M16 Nyloc Nut ZP
M10x30 (MSL),312164238766,M10x30 HT Bolt ZP 8.8
RMBP-R8-M9,856685190099,"""1/4"""" Magna-Bulb Rivet"""
M16 NYLOC (Grossman),849737747677,M16 Nyloc Nut ZP
M10x30 (Brassfit),855385968899,M10x30 HT Bolt ZP 8.8
AIR LINE 5mm,115737496683,5mm Nylon Air Line/mtr
GASCO 50x60x3,597893943278,Sight Glass Seal
UNC 1/4x5/8SS,719308936515,1/4 x 5/8 Button Head Screw
MFI DC TAB (WaterJet),117080147924,API Dust Cap Tab
MFI DC TAB (Fik Laser),985194660996,API Dust Cap Tab
M16 NYLOC (Hardie),142554240959,M16 Nyloc Nut ZP
M16 NYLOC (Brassfit),497569236433,M16 Nyloc Nut ZP
M16 NYLOC (Holmes),050872249050,M16 Nyloc Nut ZP
M16 NYLOC (Steelmasters),351499960476,M16 Nyloc Nut ZP
M16 NYLOC (Tanker Solutions),088937445719,M16 Nyloc Nut ZP
M16 NYLOC (Bolt Shop),538012603579,M16 Nyloc Nut ZP
OR34x3,573504271352,NBR SH70
P4240,789691459240,204 Cork Gasket
CIREXT13 (Hardie),395438514387,13mm External Circlip ZP
CIREXT13 (Holmes),781186334383,13mm External Circlip ZP
OR.M30x2.5,623912395311,O Ring NBR M30x2.5
OR.029V75,886250339429,Suit OPW 1290 Spout Sml O Ring
DS9820,250222818129,"""1/8"""" BSP Bonded Washer Self-centre"""
OR.118N70 (NZH),393269540979,O Ring Spool Valve
ESCNG R20/16,392787958210,Gland Reducer plastic 20 to 16
M10x35 (Brassfit),186778116510,M10x35 HT Bolt ZP 8.8
M10x35 (Holmes),872726924612,M10x35 HT Bolt ZP 8.8
OR.118N70 (Sealhouse),822759963957,O Ring Spool Valve
RCEM006,129283532041,6mm Circlip suit OPW Elbow Lever Pin
RMBP-R8-M11,096514132144,"""1/4"""" Magna-Bulb Rivet"""
XEGB47334 (Brassfit),312434339668,3mm Nickle Plated Crimp/ea
M5x60 CSKCAP,606796689047,M5x60 CSK Cap Screw
UNC 3/8x1 1/2 (Holmes),052052368261,3/8 UNC x 1 1/2 HT Bolt ZP
M4x40 CAPSS,197303927645,M4x40 Cap Screws S/S
UNC 3/8x1 1/2 (Brassfit),209506905181,3/8 UNC x 1 1/2 HT Bolt ZP
XEGB47334 (MFWCM03N),962711396371,M3 Nickel Plated Copper Wire Crimp
M10x40 (MSL),878001625722,M10x40 HT Bolt ZP 8.8
886-333-003,419094194493,O Ring ZVA EO-447
M10x40 (Brassfit),388893348336,M10x40 HT Bolt ZP 8.8
M4x35SS,664268630196,M4x35 Button Head Screw
M10x40 (Bolt Shop),594555099763,M10x40 HT Bolt ZP 8.8
THST08,007163004679,Spiral Tie 8mm Black/mtr
5023,119174922143,Lynch Pin Zinc 4.5mm
CAPBUTM640ZP,850830763175,M6x40 Buttonhead Cap Screws
M10x40 (Hardie),310274173834,M10x40 HT Bolt ZP 8.8
719-R606206-703,034572398663,O-Ring In Valve 695N-PK (206V)
UNC 5/16x1 3/4,852443295006,5/16 UNC x 1 3/4 Bolt ZP
M10x40 (Holmes),916455686941,M10x40 HT Bolt ZP 8.8
P0684 (Gasket BOP),744882560001,Gasket suit AVV075V Sequential
P0684 (Liquip),957661515792,Gasket suit AVV075V Sequential Cover
OR.228N70 (Seal House),804564880632,O Ring AR2.5 End Cap
UA1151,212704791849,20x1.6 Flat Bar AL/mtr
OR.228N70 (Holmes),064239211139,O Ring AR2.5 End Cap
S1,639740566514,3/16 Lynch Pin
OR.120V75,006310394319,ORing Viton
C95F,106638664706,2ltr Lid suit Sample Jar
MFI41501-017,061531505205,ECL Drybreak Bush Washer
M6x100 (Grossman),794861918598,M6x100 HT Bolt ZP 8.8
M6x100 (Brassfit),399379919207,M6x100 HT Bolt ZP 8.8
M6x100 (Bay Engineers),757011274966,M6x100 HT Bolt ZP 8.8
M6x100 (MSL),955642377448,M6x100 HT Bolt ZP 8.8
MS RND12,219648315926,12 Dia Mild Steel Plain Round/mtr
M8x90,309517901003,M8x90 HT Bolt ZP 8.8
BSW 1/2 x 1/1/2,050200898694,1/2 BSW x 1 1/2 Bolt ZP
BSW 1/2 x 2,450397311783,1/2 BSW x 2 Bolt ZP
THST12B (Brassfit),138133724705,Spiral Tie 12mm Black/mtr
R500443-500 (Bay Engineers),021926133072,Trelor Nyloc Nut
AJ9100/30C,517984781906,Hook suit 701 Fasteners
R500443-500 (MSL),328948765445,Trelor Nyloc Nut
AIR LINE 6mm (Brassfit),593755937193,6mm Nylon Air Line/mtr
OR.111V75,152690851261,O Ring Viton 70 SH
AIR LINE 6mm (Norgren),418883654562,6mm Nylon Air Line/mtr
M4x40SS,015611192762,M4x40 Button Head Screw
AIR LINE 6mm (Hose Supplies),962439671887,6mm Nylon Air Line/mtr
UNC 3/8x1 1/4 (Brassfit),304110582494,3/8 UNC x 1 1/4 HT Bolt ZP
UNC 3/8x1 1/4 (Holmes),823977409645,3/8 UNC x 1 1/4 HT Bolt ZP
AIR LINE 6mm (TWL),481308370638,6mm Nylon Air Line/mtr
THST12B (TWL),405189656339,Spiral Tie 12mm Black/mtr
AIR LINE 6mm (BNT),750233038454,6mm Nylon Air Line/mtr
R500443-500 (Tanker Solutions),203856996130,Trelor Nyloc Nut
9PIN DECAL,416063267175,9 Pin Decal
ZNZREF,466797197755,Guard Pole Reflector Cap
MFWCM03N,892897851001,M3 Nickel plated Copper Wire Crimp
CS BUNA 019 (Hose Supplies),484857929371,19mm Buna N Camlock Seal
